,0,1
0,876507,549383
1,404082,794478
2,925315,291536
3,784330,225565
4,422328,138786
5,576554,510027
6,285275,304983
7,343947,711834
8,624325,680101
9,725417,991190
10,688839,337802
11,970295,881045
12,405880,496831
13,592748,899799
14,851081,937624
15,761632,621150
16,160923,905162
17,401960,632133
18,686697,929207
19,879259,764731
20,405880,302286
21,694398,525138
22,344893,336459
23,283189,269656
24,304043,147034
25,250040,527786
26,467699,108125
27,359058,176217
28,992675,943205
29,561481,266775
30,330915,414756
31,729074,291815
32,578805,612601
33,666991,839647
34,789695,538989
35,587188,812333
36,235118,653410
37,941850,190488
38,752444,177862
39,129104,361461
40,764510,763784
41,424070,624560
42,784330,549105
43,905514,331477
44,394241,477887
45,463516,727657
46,514445,726315
47,912258,209062
48,429280,968076
49,313287,945107
50,324588,377533
51,395615,400419
52,983351,268919
53,605316,866142
54,975232,987288
55,730099,444935
56,566236,443986
57,323969,465390
58,697945,815857
59,730561,414416
60,902160,572252
61,768960,669000
62,324588,929443
63,507227,642529
64,513555,224188
65,744838,517092
66,690297,755307
67,253437,224069
68,959806,974615
69,865077,371760
70,889407,665162
71,979151,102300
72,912258,934300
73,248675,997753
74,638563,187480
75,615169,538964
76,292537,982386
77,507113,185719
78,156629,112595
79,736788,683616
80,594396,235651
81,506757,698326
82,166801,900224
83,515094,637575
84,898613,978518
85,845281,414859
86,214236,113480
87,652240,509403
88,433161,733016
89,898125,769202
90,828260,470777
91,182067,484497
92,147729,724213
93,789695,181166
94,185149,696991
95,755796,394306
96,195716,901507
97,388410,213015
98,508725,631186
99,240109,828822
100,918925,287898
101,664139,104345
102,939563,454845
103,826953,876054
104,193544,670048
105,414639,996614
106,224623,123305
107,749086,674274
108,708019,485105
109,175806,877623
110,245889,395070
111,533101,436340
112,223309,754657
113,912979,488102
114,947634,152669
115,571006,937945
116,160462,174086
117,248008,657374
118,883898,279395
119,593029,643060
120,293583,894993
121,806144,247926
122,684200,494396
123,489033,586230
124,172583,698613
125,676085,136428
126,925192,280664
127,432018,845992
128,736554,674328
129,185636,969153
130,817319,593463
131,437888,614541
132,362154,259171
133,463475,991133
134,835914,629440
135,437888,643061
136,674795,967350
137,542846,689358
138,868637,299075
139,987277,926510
140,465506,302711
141,671180,714760
142,627391,470623
143,519115,279899
144,535979,578411
145,888605,481086
146,191401,308279
147,299976,771151
148,232995,257846
149,566001,899288
150,471383,269235
151,337001,671671
152,269211,141639
153,323629,688662
154,769297,444600
155,553161,889118
156,226693,643161
157,411348,582788
158,757053,445526
159,795609,243683
160,594396,466948
161,461052,824633
162,347044,569965
163,918925,610691
164,915346,618027
165,589411,843513
166,650903,619379
167,192938,826611
168,573957,238256
169,834979,222587
170,727535,139547
171,235915,726274
172,550984,984071
173,837911,136272
174,113094,169803
175,128861,453345
176,405860,856975
177,641332,462734
178,228791,255298
179,613656,646124
180,403687,627606
181,952627,464342
182,261631,486243
183,970041,248717
184,351726,743337
185,303336,233796
186,534993,828108
187,987277,703698
188,314104,368148
189,608114,580475
190,698692,989864
191,256153,525873
192,872931,794753
193,715667,967352
194,224623,844149
195,789992,747746
196,605316,245757
197,895841,112996
198,240656,444719
199,896443,545288
200,373974,611578
201,534864,792335
202,403990,600090
203,356569,166173
204,637019,296284
205,730791,881730
206,621685,835578
207,774197,459513
208,214923,616360
209,679183,677863
210,474729,390315
211,723302,201438
212,882858,167131
213,782334,252817
214,226693,287577
215,690587,333347
216,148535,543188
217,881628,374754
218,942770,306393
219,141114,982186
220,326097,464774
221,420785,537555
222,676085,528784
223,879750,344316
224,664175,139664
225,876260,229228
226,970295,979195
227,105665,836571
228,470434,713622
229,146656,247340
230,384592,750661
231,192028,617501
232,312654,745131
233,964082,673647
234,768960,212906
235,166801,507319
236,876994,826752
237,433161,998165
238,795334,603362
239,629344,731183
240,223309,230493
241,767312,183670
242,682553,961198
243,669985,331937
244,439530,874698
245,886128,876920
246,630812,491658
247,447177,896679
248,810475,480528
249,133272,100762
250,387116,524837
251,315979,335585
252,666991,975544
253,645902,734276
254,184826,860708
255,646427,870480
256,987922,404278
257,391906,468119
258,366620,917848
259,303336,690915
260,835914,202335
261,198270,479185
262,881628,804442
263,745615,723061
264,492401,110508
265,323629,524779
266,759081,313832
267,820466,211997
268,818500,642215
269,919603,557743
270,852200,101146
271,791269,831745
272,759081,122151
273,450545,783331
274,650513,744105
275,642931,646028
276,737372,524856
277,354175,978239
278,585128,639969
279,646036,764067
280,605779,940939
281,722664,292832
282,893810,534274
283,567699,629740
284,885090,528949
285,252694,636245
286,605316,413277
287,176679,337199
288,198216,586666
289,745615,296886
290,159229,911956
291,565130,679048
292,745382,977466
293,884000,318561
294,398671,740631
295,295143,100715
296,209665,963553
297,970041,384646
298,670743,509595
299,380093,316676
