,0,6,1,2,3,4,5
0,163842,190465,Pfizer Vaccination,9:00:00,22:30:00,0:45:00,8
1,589826,190465,PCR Testing,8:30:00,23:30:00,36:00:00,7
2,393220,190465,Moderna Vaccination,8:00:00,22:30:00,36:00:00,7
3,196613,190465,Antibody Test,9:00:00,21:00:00,24:00:00,8
4,884744,110595,Pfizer Vaccination,8:30:00,0:00:00,1:00:00,6
5,196626,888839,Antibody Test,9:30:00,21:00:00,24:00:00,7
6,229410,176134,Pfizer Vaccination,8:30:00,23:30:00,0:30:00,13
7,163876,110595,Moderna Vaccination,9:00:00,21:00:00,36:00:00,12
8,557100,190465,Rapid Test,11:00:00,23:30:00,48:00:00,9
9,557102,190465,Johnson & Johnson Vaccination,8:30:00,22:30:00,0:30:00,6
10,557117,110595,PCR Testing,10:30:00,22:00:00,36:00:00,9
11,917580,888839,Pfizer Vaccination,10:00:00,20:30:00,1:00:00,12
12,163928,145418,Moderna Vaccination,8:00:00,20:30:00,24:00:00,11
13,819292,176134,PCR Testing,10:30:00,23:00:00,24:00:00,12
14,327780,954385,Moderna Vaccination,11:30:00,23:00:00,24:00:00,8
15,426084,110595,Rapid Test,8:00:00,23:30:00,48:00:00,6
16,557169,274441,Antibody Test,9:30:00,22:30:00,24:00:00,5
17,786551,954385,Pfizer Vaccination,8:00:00,21:00:00,0:30:00,7
18,360577,954385,Antibody Test,11:00:00,22:00:00,48:00:00,0
19,491658,630812,Moderna Vaccination,9:00:00,20:30:00,24:00:00,5
20,786571,624666,Pfizer Vaccination,10:00:00,23:30:00,0:45:00,9
21,884879,630812,Antibody Test,11:30:00,0:00:00,24:00:00,12
22,229520,630812,Pfizer Vaccination,7:30:00,22:30:00,0:30:00,7
23,753817,366620,Moderna Vaccination,7:30:00,23:30:00,48:00:00,8
24,884890,888839,PCR Testing,10:00:00,21:00:00,24:00:00,0
25,917669,110595,Johnson & Johnson Vaccination,10:00:00,23:30:00,1:00:00,0
26,458921,176134,Rapid Test,9:00:00,21:30:00,36:00:00,6
27,131241,366620,Pfizer Vaccination,11:00:00,20:00:00,0:30:00,9
28,295083,145418,PCR Testing,7:30:00,21:30:00,24:00:00,8
29,950448,274441,Johnson & Johnson Vaccination,9:00:00,23:00:00,0:30:00,0
30,491696,362526,Pfizer Vaccination,7:30:00,21:30:00,1:00:00,12
31,229557,888839,Rapid Test,11:00:00,21:30:00,48:00:00,7
32,360636,145418,Johnson & Johnson Vaccination,10:00:00,21:30:00,1:00:00,10
33,393405,823329,Pfizer Vaccination,11:30:00,23:30:00,1:00:00,5
34,590030,954385,Johnson & Johnson Vaccination,10:30:00,22:00:00,0:30:00,7
35,819407,954385,PCR Testing,8:00:00,0:00:00,36:00:00,7
36,655568,624666,PCR Testing,9:00:00,21:30:00,36:00:00,7
37,950483,630812,PCR Testing,8:30:00,20:00:00,24:00:00,8
38,590039,669730,Pfizer Vaccination,7:30:00,22:00:00,0:30:00,0
39,950489,366620,Antibody Test,10:00:00,21:30:00,24:00:00,8
40,884961,362526,Antibody Test,7:30:00,0:00:00,48:00:00,12
41,360681,688167,Pfizer Vaccination,11:30:00,0:00:00,0:45:00,11
42,655596,120876,Pfizer Vaccination,9:30:00,0:00:00,0:30:00,0
43,360688,366620,PCR Testing,11:30:00,20:30:00,48:00:00,13
44,131319,823329,Antibody Test,9:00:00,22:00:00,24:00:00,5
45,557314,624666,Johnson & Johnson Vaccination,10:30:00,22:00:00,1:00:00,6
46,819458,387116,Pfizer Vaccination,11:00:00,21:00:00,0:45:00,5
47,983300,669730,Antibody Test,8:00:00,21:30:00,36:00:00,10
48,295181,274441,Rapid Test,9:30:00,20:30:00,48:00:00,7
49,557339,362526,PCR Testing,11:00:00,20:30:00,48:00:00,12
50,327965,927794,Pfizer Vaccination,10:00:00,23:00:00,0:30:00,8
51,524577,366620,Johnson & Johnson Vaccination,10:00:00,20:30:00,1:00:00,12
52,491817,362526,Johnson & Johnson Vaccination,9:30:00,20:00:00,0:45:00,6
53,459050,919603,Pfizer Vaccination,10:30:00,22:00:00,0:45:00,12
54,131375,823329,Moderna Vaccination,8:00:00,23:30:00,48:00:00,9
55,852275,456740,Moderna Vaccination,9:00:00,23:00:00,48:00:00,12
56,721204,225331,Pfizer Vaccination,10:00:00,23:00:00,0:45:00,10
57,295226,120876,Moderna Vaccination,7:30:00,20:00:00,24:00:00,10
58,622916,823329,PCR Testing,10:30:00,22:30:00,36:00:00,6
59,983368,954385,Rapid Test,11:30:00,0:00:00,36:00:00,6
60,819531,442421,Pfizer Vaccination,9:30:00,22:30:00,0:45:00,6
61,131409,669730,Johnson & Johnson Vaccination,9:30:00,21:00:00,1:00:00,11
62,721239,927794,Moderna Vaccination,8:30:00,20:00:00,36:00:00,9
63,524632,630812,Rapid Test,8:30:00,21:30:00,36:00:00,13
64,917848,366620,Rapid Test,9:30:00,22:30:00,48:00:00,8
65,655706,362526,Rapid Test,8:00:00,22:30:00,24:00:00,11
66,393563,309307,Pfizer Vaccination,11:30:00,21:30:00,1:00:00,6
67,262496,569404,Pfizer Vaccination,9:00:00,21:00:00,1:00:00,8
68,721255,919603,Moderna Vaccination,10:00:00,21:00:00,24:00:00,6
69,491879,227393,Pfizer Vaccination,8:30:00,22:30:00,0:30:00,7
70,360809,688167,Antibody Test,8:00:00,21:30:00,48:00:00,8
71,393587,612394,Johnson & Johnson Vaccination,8:00:00,21:30:00,0:45:00,7
72,393590,669730,PCR Testing,10:00:00,21:30:00,24:00:00,5
73,819578,225331,Moderna Vaccination,9:00:00,20:00:00,36:00:00,10
74,328058,688167,PCR Testing,11:30:00,22:30:00,36:00:00,8
75,524669,823329,Rapid Test,10:00:00,0:00:00,36:00:00,13
76,557439,669730,Rapid Test,7:30:00,20:00:00,48:00:00,12
77,524690,774197,Moderna Vaccination,8:00:00,23:00:00,48:00:00,10
78,164243,442421,Moderna Vaccination,7:30:00,23:00:00,24:00:00,11
79,885139,612394,PCR Testing,11:30:00,0:00:00,48:00:00,0
80,557463,456740,Rapid Test,11:00:00,20:30:00,24:00:00,8
81,459160,309307,Moderna Vaccination,8:30:00,20:30:00,24:00:00,0
82,262560,727109,Pfizer Vaccination,9:30:00,22:00:00,0:45:00,12
83,754084,120876,Johnson & Johnson Vaccination,10:00:00,22:30:00,1:00:00,8
84,754095,569404,Moderna Vaccination,8:00:00,23:30:00,36:00:00,7
85,262583,550984,Pfizer Vaccination,8:30:00,23:30:00,1:00:00,7
86,197068,415817,Pfizer Vaccination,10:00:00,21:00:00,0:45:00,6
87,721359,520268,Pfizer Vaccination,8:30:00,21:30:00,0:45:00,8
88,262624,120876,PCR Testing,8:00:00,23:00:00,36:00:00,7
89,819681,129104,Pfizer Vaccination,11:00:00,22:30:00,0:30:00,11
90,524779,323629,PCR Testing,10:00:00,0:00:00,24:00:00,11
91,360950,120876,Antibody Test,10:30:00,22:30:00,36:00:00,8
92,524791,573505,Moderna Vaccination,7:30:00,22:30:00,36:00:00,7
93,360955,688167,Rapid Test,9:30:00,21:30:00,24:00:00,9
94,754179,550984,Moderna Vaccination,9:00:00,23:30:00,24:00:00,6
95,328204,223309,Moderna Vaccination,10:00:00,22:00:00,48:00:00,9
96,164370,612394,Rapid Test,10:30:00,21:30:00,36:00:00,8
97,688662,323629,Antibody Test,9:00:00,21:00:00,48:00:00,5
98,524830,536659,Pfizer Vaccination,10:30:00,20:30:00,1:00:00,10
99,524837,387116,Antibody Test,8:30:00,21:00:00,48:00:00,5
100,262703,927794,Antibody Test,8:30:00,23:30:00,48:00:00,6
101,950839,637019,Moderna Vaccination,11:30:00,23:00:00,24:00:00,0
